Name,Status,Population Census 2001-01-01,Population Estimate 2008-01-01,Population Estimate 2011-01-01,Population Estimate 2015-01-01,Population Estimate 2020-01-01
Breda,Municipality,162307,170960,174599,180937,184069
Cranendonck,Municipality,20288,20263,20371,20542,21138
Cuijk,Municipality,24234,24226,24580,24649,25130
Deurne,Municipality,32044,31643,31676,31765,32471
Dongen,Municipality,24856,25442,25101,25395,26222
Drimmelen,Municipality,26624,26623,26477,26703,27272
Eersel,Municipality,18315,18072,18166,18347,19313
Eindhoven,Municipality,203391,210333,216036,223209,234394
Etten-Leur,Municipality,37782,40435,41800,42503,43878
Geertruidenberg,Municipality,20987,20742,21307,21574,21544
Geldrop-Mierlo,Municipality,38219,37982,38389,38879,39726
Gemert-Bakel,Municipality,27683,28103,28906,29513,30723
Gilze en Rijen,Municipality,24544,25644,25764,26065,26431
Goirle,Municipality,22389,22319,22807,23014,23904
Grave,Municipality,12635,12717,13031,12840,12436
Haaren,Municipality,14085,13769,13630,13523,14370
Halderberge,Municipality,29496,29488,29292,29484,30284
Heeze-Leende,Municipality,15284,15133,15295,15477,16152
Helmond,Municipality,80929,86767,88560,89718,92423
Heusden,Municipality,42934,42942,43119,43132,44692
Hilvarenbeek,Municipality,14804,15107,15035,15042,15518
Laarbeek,Municipality,21540,21783,21532,21913,22523
Landerd,Municipality,14366,14796,14941,15290,15730
Loon op Zand,Municipality,22911,22885,22973,22960,23408
"Meierijstad (incl. Veghel, Schijndel, Sint-Oedenrode)",Municipality,76437,77011,78338,79234,81194
Mill en Sint Hubert,Municipality,11091,10996,11000,10831,10939
Moerdijk,Municipality,36451,36724,36547,36816,37129
"Nuenen, Gerwen en Nederwetten",Municipality,23678,22598,22242,22620,23383
Oirschot,Municipality,17703,17855,17845,18079,18714
Oisterwijk,Municipality,25280,25743,25721,25732,26245
Oosterhout,Municipality,52743,53785,54072,53793,55982
Oss,Municipality,87096,88354,89105,89799,91915
Reusel-De Mierden,Municipality,12457,12384,12606,12774,13112
Roosendaal,Municipality,76769,77277,77541,76874,77251
Rucphen,Municipality,22586,22473,22430,22233,22878
's-Hertogenbosch,Municipality,136910,142835,147136,150889,155111
Sint Anthonis,Municipality,11670,11789,11796,11612,11664
Sint-Michielsgestel,Municipality,27828,28100,28114,28395,29208
Someren,Municipality,18452,18211,18317,18695,19368
Son en Breugel,Municipality,14819,15448,15653,16344,17322
Steenbergen,Municipality,23354,23211,23273,23638,24416
Tilburg,Municipality,195767,202091,206240,211648,219789
Uden,Municipality,39922,40126,40721,41089,42119
Valkenswaard,Municipality,31008,30867,30622,30234,31193
Veldhoven,Municipality,42489,43056,43592,44166,45466
Vught,Municipality,25466,25337,25654,25853,26558
Waalre,Municipality,16266,16695,16482,16874,17456
Waalwijk,Municipality,45278,45641,46211,46713,48637
Woensdrecht,Municipality,21455,21637,21682,21644,21876
Zundert,Municipality,20271,20947,21163,21363,21829
Noord-Holland [North Holland],Province,2543135,2626163,2691477,2761929,2879527
Aalsmeer,Municipality,22662,26386,30189,31077,31859
Alkmaar,Municipality,104308,105722,105778,107106,109436
Amstelveen,Municipality,77351,78980,81796,87162,91675
Amsterdam,Municipality,734533,747093,779808,821752,872757
Beemster,Municipality,8451,8474,8573,8903,10022
Bergen (NH.),Municipality,31684,31220,30868,30005,29839
Beverwijk,Municipality,35937,37347,39329,40182,41626
Blaricum,Municipality,9376,9036,8959,9312,11540
Bloemendaal,Municipality,22057,21967,22039,22256,23571
Castricum,Municipality,34703,34705,34593,34361,35986
Den Helder,Municipality,59820,57795,57207,56483,56296
Diemen,Municipality,23835,24046,25012,26666,30780
Drechterland,Municipality,17875,18818,19335,19294,19719
Edam-Volendam,Municipality,34029,34754,34933,35393,36197
Enkhuizen,Municipality,17033,17804,18173,18345,18591
"Gooise Meren (incl. Bussum, Naarden)",Municipality,54689,55452,56094,56328,58055
Haarlem,Municipality,148373,147640,150670,156645,162902
"Haarlemmermeer (incl. Haarlemmerliede, Spaarnwoude)",Municipality,119121,146077,148806,149726,156002
Heemskerk,Municipality,36068,38381,39206,39138,39182
Heemstede,Municipality,26003,25626,26297,26480,27234
Heerhugowaard,Municipality,45551,50390,51985,53554,57587
Heiloo,Municipality,21897,22024,22580,22553,23968
Hilversum,Municipality,82769,83815,84984,87161,90831
Hollands Kroon,Municipality,45987,47419,47677,47546,48432
Hoorn,Municipality,65756,68696,70697,71880,73261
Huizen,Municipality,42098,41880,41726,41315,41273
Koggenland,Municipality,20022,21495,22082,22426,22749
Landsmeer,Municipality,10242,10173,10253,10823,11491
Langedijk,Municipality,24200,26047,26997,27287,28163
Laren (NH.),Municipality,11529,10958,11418,10857,11280
Medemblik,Municipality,40991,41863,42891,43604,45101
Oostzaan,Municipality,8908,9205,9114,9187,9735
Opmeer,Municipality,11041,11244,11420,11301,11836
Ouder-Amstel,Municipality,12987,13046,13146,13289,14026
Purmerend,Municipality,72142,78434,79193,79611,81249
Schagen,Municipality,43463,46508,46427,46137,46483
Stede Broec,Municipality,21081,21372,21402,21498,21726
Texel,Municipality,13534,13547,13728,13581,13575
Uitgeest,Municipality,11669,12205,12819,13291,13666
Uithoorn,Municipality,26236,27501,28114,28731,29478
Velsen,Municipality,66973,67556,67347,67166,68648
Waterland,Municipality,17224,17026,17140,17143,17424
Weesp,Municipality,18091,17575,17987,18348,19738
Wijdemeren,Municipality,23057,23432,23312,23176,24358
Wormerland,Municipality,15383,15901,15801,15740,16270
Zaanstad,Municipality,136102,142863,146940,151418,156794
Zandvoort,Municipality,16294,16665,16632,16692,17116
Overijssel,Province,1086063,1119994,1134465,1140652,1162406
Almelo,Municipality,70378,72287,72599,72291,73107
Borne,Municipality,20717,20764,21557,21992,23312
Dalfsen,Municipality,25830,26735,27313,27677,28587
Deventer,Municipality,90232,97342,98737,98540,100719
Dinkelland,Municipality,25973,26116,26067,25928,26461
Enschede,Municipality,150447,154753,157838,158553,159640
Haaksbergen,Municipality,24129,24378,24448,24307,24311
Hardenberg,Municipality,57219,58207,59283,59577,60948
Hellendoorn,Municipality,35789,36059,35747,35622,35916
Hengelo,Municipality,80409,81088,80747,81059,81140
Hof van Twente,Municipality,34847,35181,35573,34917,35017
Kampen,Municipality,47936,49385,50403,51432,54319
Losser,Municipality,22756,22492,22664,22467,22683
Oldenzaal,Municipality,31110,31584,32176,32120,31836
Olst-Wijhe,Municipality,17022,17334,17502,17839,18252
Ommen,Municipality,16771,17419,17329,17341,18009
Raalte,Municipality,36402,37030,36688,36603,37712
Rijssen-Holten,Municipality,35399,36667,37433,37830,38177
Staphorst,Municipality,15328,15973,16179,16421,17145
Steenwijkerland,Municipality,41171,43282,43281,43219,44126
Tubbergen,Municipality,20021,20797,21171,21142,21275
Twenterand,Municipality,33322,33461,33727,33874,33743
Wierden,Municipality,23414,23365,23630,23874,24446
Zwartewaterland,Municipality,22079,21930,22018,22166,22685
Zwolle,Municipality,107362,116365,120355,123861,128840
Utrecht,Province,1143653,1235363,1262828,1297857,1354834
Amersfoort,Municipality,128023,141211,146592,152481,157276
Baarn,Municipality,24526,24406,24379,24406,24868
Bunnik,Municipality,13768,14258,14437,14662,15191
Bunschoten,Municipality,19259,19611,20111,20647,21866
De Bilt,Municipality,42050,41998,42049,42169,43137
De Ronde Venen,Municipality,42712,43257,43004,42588,44456
Eemnes,Municipality,8660,8964,8845,8807,9247
Houten,Municipality,35976,46475,47935,48637,50146
IJsselstein,Municipality,30922,34059,34348,34061,34109
Leusden,Municipality,28833,28540,28609,29062,30401
Lopik,Municipality,13513,14047,14121,14099,14467
Montfoort,Municipality,13283,13493,13500,13672,13917
Nieuwegein,Municipality,62343,61087,60947,61264,63462
Oudewater,Municipality,9740,9917,9815,9924,10230
Renswoude,Municipality,4055,4482,4752,4976,5444
Rhenen,Municipality,17344,18779,18951,19308,20119
Soest,Municipality,44621,45560,45611,45454,46606
Stichtse Vecht,Municipality,62942,62315,63050,63943,64931
Utrecht,Municipality,256393,294737,311367,334176,357597
Utrechtse Heuvelrug,Municipality,48887,48979,48726,48183,49580
Veenendaal,Municipality,60391,61769,62267,63440,66493
"Vijfheerenlanden (incl. Leerdam, Vianen, Zederik)",Municipality,53747,53650,53717,53917,56811
Wijk bij Duurstede,Municipality,23154,23306,23115,23222,23914
Woerden,Municipality,46910,48383,49748,50631,52299
Woudenberg,Municipality,11025,11592,12008,12487,13362
Zeist,Municipality,59836,60488,60824,61641,64905
Zeeland [Zealand],Province,374912,380585,381530,380726,383488
Borsele,Municipality,22007,22531,22707,22568,22739
Goes,Municipality,35953,36706,36665,37153,38082
Hulst,Municipality,27662,27944,27719,27360,27556
Kapelle,Municipality,11442,12047,12365,12545,12695
Middelburg (Z.),Municipality,45426,47325,48030,47613,48822
Noord-Beveland,Municipality,6971,7289,7474,7433,7392
Reimerswaal,Municipality,20726,21296,21614,22058,22730
Schouwen-Duiveland,Municipality,34193,33994,34203,33821,33839
Sluis,Municipality,24594,24238,23979,23747,23210
Terneuzen,Municipality,55370,55155,54823,54577,54426
Tholen,Municipality,23763,25264,25489,25440,25757
Veere,Municipality,22031,21998,21926,21926,21880
Vlissingen,Municipality,44774,44798,44536,44485,44360
Zuid-Holland [South Holland],Province,3385680,3427422,3494290,3565726,3708696
Alblasserdam,Municipality,18409,18718,19208,19845,20165
